year,carbon_price,,,,,,,,,,,
2010,14.40672115,,,,,,,,,,,
2011,12.58955435,,,,,,,,,,,
2012,7.363347709,,,,,,,,,,,
2013,4.457410714,,,,,,,,,,,
2014,6.002971612,,,,,,,,,,,
2015,7.693509615,,,,,,,,,,,
2016,5.353721154,,,,,,,,,,,
2017,5.837240385,,,,,,,,,,,
2018,16.03219811,,,,,,,,,,,
2019,24.88779808,,,,,,,,,,,
2020,24.89,,,,,,,,,,,
2021,53.28,,,,,,,,,,,
2022,44.62461028,,,,,,,,,,,
2023,47.13021559,,,,,,,,,,,
2024,49.6358209,,,,,,,,,,,
2025,52.1414262,,,,,,,,,,,
2026,54.64703151,,,,,,,,,,,
2027,57.15263682,,,,,,,,,,,
2028,59.65824212,,,,,,,,,,,
2029,62.16384743,,,,,,,,,,,
2030,64.66945274,,,,,,,,,,,
2031,67.17505804,,,,,,,,,,,
2032,69.68066335,,,,,,,,,,,
2033,72.18626866,,,,,,,,,,,
2034,74.69187396,,,,,,,,,,,
2035,77.19747927,,,,,,,,,,,
2036,79.70308458,,,,,,,,,,,
2037,82.20868988,,,,,,,,,,,
2038,84.71429519,,,,,,,,,,,
2039,87.2199005,,,,,,,,,,,
2040,89.7255058,,,,,,,,,,,
2041,92.23111111,,,,,,,,,,,
2042,94.73671642,,,,,,,,,,,
2043,97.24232172,,,,,,,,,,,
2044,99.74792703,,,,,,,,,,,
2045,102.2535323,,,,,,,,,,,
2046,104.7591376,,,,,,,,,,,
2047,107.264743,,,,,,,,,,,
2048,109.7703483,,,,,,,,,,,
2049,112.2759536,,,,,,,,,,,
2050,114.7815589,,,,,,,,,,,
