Name,kind,Pmax,Pmin,MUT,MDT,inist,a,b,c,a_hr,b_hr,c_hr,carbon_coefficient,hc,cc,shot,scold,tcold,must_run,ramp_up,ramp_down,factor_minimum_uptime,basin
ais_ag_dimitrios_1,lignite-st,274,150,16,1,-1,980,33.945,0.00038,0,11500,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,-
ais_ag_dimitrios_2,lignite-st,274,150,16,1,-1,980,33.945,0.00038,0,11500,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,-
ais_ag_dimitrios_3,lignite-st,283,150,16,1,-1,990,30.993,0.00035,0,10500,0,0.000111789,65000,180000,4,11,144,0,0,0,0.3,-
ais_ag_dimitrios_4,lignite-st,283,150,16,1,-1,990,30.993,0.00035,0,10500,0,0.000111789,65000,180000,4,11,144,0,0,0,0.3,-
ais_ag_dimitrios_5,lignite-st,342,188,16,1,-1,1000,28.041,0.00032,0,9500,0,0.000111789,60000,160000,4,11,144,0,0,0,0.3,-
ais_amintaio_1,lignite-st,273,150,16,1,-1,980,33.945,0.00041,0,11500,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,-
ais_amintaio_2,lignite-st,273,150,16,1,-1,980,33.945,0.00041,0,11500,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,-
ais_kardia_1,lignite-st,275,150,16,1,-1,980,33.945,0.00044,0,11500,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,-
ais_kardia_2,lignite-st,275,150,16,1,-1,980,33.945,0.00044,0,11500,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,-
ais_kardia_3,lignite-st,280,150,16,1,-1,980,30.993,0.00038,0,10500,0,0.000111789,65000,180000,4,11,144,0,0,0,0.3,-
ais_kardia_4,lignite-st,280,150,16,1,-1,980,30.993,0.00038,0,10500,0,0.000111789,65000,180000,4,11,144,0,0,0,0.3,-
ais_megalopoli_3,lignite-st,255,150,16,1,-1,970,28.041,0.00041,0,9500,0,0.000111789,60000,160000,4,11,144,0,0,0,0.3,-
ais_megalopoli_4,lignite-st,256,195,16,1,-1,970,28.041,0.00041,0,9500,0,0.000111789,60000,160000,4,11,144,0,0,0,0.3,-
ais_melitis_1,lignite-st,289,150,16,1,-1,1000,28.041,0.00031,0,9500,0,0.000111789,60000,160000,4,11,144,0,0,0,0.3,-
ais_ptolemaida_3,lignite-st,116,58,16,1,-1,960,30.993,0.00048,0,10500,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,-
ais_ptolemaida_4,lignite-st,274,150,16,1,-1,980,30.993,0.00032,0,10500,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,-
ais_ptolemaida_5_lig,lignite-st,615,330,16,1,-1,1050,26.565,0.0003,0,9000,0,0.000111789,60000,160000,4,11,144,0,0,0,0.3,-
ais_ptolemaida_5_gas,nat-gas-st,1000,330,10,1,-1,1050,62.222,0.0003,0,8000,0,0.000111789,70000,200000,4,11,144,0,0,0,0.3,
ais_megalopoli_5,nat-gas-ccgt,811,201,10,3,-3,700,48.222,0.0018,0,6200,0,5.66E-05,15000,50000,3,7,72,0,0,0,0.3,-
ais_lavrio_4,nat-gas-ccgt,550.2,94,10,3,-3,690,54.444,0.0019,0,7000,0,5.66E-05,20000,55000,3,7,72,0,0,0,0.3,-
ais_lavrio_5,nat-gas-ccgt,377.6,220,10,3,-3,660,48.222,0.002,0,6200,0,5.66E-05,15000,50000,3,7,72,0,0,0,0.3,-
ais_komotini_1,nat-gas-ccgt,476.3,130,10,3,-3,680,54.444,0.002,0,7000,0,5.66E-05,20000,55000,3,7,72,0,0,0,0.3,-
ais_aliveri_5,nat-gas-ccgt,417,182,10,3,-3,670,48.222,0.0019,0,6200,0,5.66E-05,15000,50000,3,7,72,0,0,0,0.3,-
