month,acheloos_rref,acheloos_rmin,acheloos_rmax,acheloos_water_lvl,acheloos_water_lvl_volatility,aliakmonas_rref,aliakmonas_rmin,aliakmonas_rmax,aliakmonas_water_lvl,aliakmonas_water_lvl_volatility,arachthos_rref,arachthos_rmin,arachthos_rmax,arachthos_water_lvl,arachthos_water_lvl_volatility,nestos_rref,nestos_rmin,nestos_rmax,nestos_water_lvl,nestos_water_lvl_volatility,ladonas_rref,ladonas_rmin,ladonas_rmax,ladonas_water_lvl,ladonas_water_lvl_volatility,tavropos_rref,tavropos_rmin,tavropos_rmax,tavropos_water_lvl,tavropos_water_lvl_volatility
1,156.0755675,152.3546774,159.5330108,156.5367742,0.445553305,170.3438292,168.902957,171.4886022,170.1893548,1.225651754,494.696359,491.1926344,497.1565054,493.8244624,1.830190035,328.5304704,322.9751613,332.8080645,325.26625,5.371787572,408.1022401,405.1680645,412.3769355,410.6733871,0.288545187,786.320681,783.5932258,788.8577419,787.6472581,0.44593347
2,157.5126984,152.6046429,160.6722619,157.8528571,2.506188463,170.7171429,169.2089881,171.7407143,170.3796429,1.217233816,495.0369907,490.6475595,497.3370238,494.4395833,2.853260041,330.0462664,322.3673214,334.5377232,324.9509821,9.354896446,412.189127,405.1457143,418.8014286,413.0080357,0.681095353,787.3740278,784.1435714,789.8625,788.7491071,0.959897455
3,158.5998148,153.2040323,161.9824731,160.1663978,2.748668521,171.2541876,169.6478495,172.3452688,171.2051613,0.214108892,495.8249235,491.0483118,498.0880645,495.6490323,2.292242499,331.8623826,325.9107258,335.7491129,328.9697984,8.66530848,415.2815161,408.7248387,419.8845161,415.6879032,0.301774926,788.4910932,784.6296774,791.0519355,790.4216129,1.109929547
4,159.7640741,154.8465556,162.1823889,160.5145556,2.54322739,171.9498889,170.1085556,172.9537222,171.8266111,0.127357788,497.0402963,491.7288889,499.1389444,496.5155556,2.390806595,334.177162,329.368875,336.90425,331.633375,7.017622324,417.1596667,415.2963333,419.0571667,417.8706667,0.346482323,789.4629444,785.365,791.666,790.831,0.636396103
5,160.4277121,155.2075806,162.419086,160.2913978,2.280381353,172.1604122,170.4382796,173.2669355,171.8889785,0.254330342,498.1910215,494.1434409,499.7935484,497.5319892,2.559498449,337.1148253,332.327621,338.9895565,333.8244355,5.279122369,418.4100179,417.8977419,418.9566129,418.7367742,0.159669273,789.5807527,785.5916129,791.5116129,790.6225806,0.517784643
6,160.2682654,154.7465556,162.4435556,159.7868889,2.172703436,171.9495988,170.0365556,173.0882222,171.9200556,0.829593389,498.5647284,495.2248889,499.9148889,497.8502778,2.114327843,338.1688009,334.715,339.827875,335.8047917,3.29034463,418.413537,417.9436667,419.086,418.5945,0.113844192,789.102263,785.105,791.1143333,790.127,0.066939442
7,159.1477001,153.3345699,161.6876344,158.7834409,2.312163141,171.2704839,169.1598925,172.5723656,171.6103226,1.40676233,497.8215352,494.0174194,499.4444624,497.5534409,2.431991129,335.2933602,332.0033871,337.4571774,335.5115726,4.007071484,416.818638,414.7158065,418.1609677,417.4062903,1.346011973,787.5875448,783.76,789.7874194,789.0790323,0.274174952
8,157.6981004,151.944086,160.1811828,157.5416667,2.484986121,170.5085066,168.1030645,171.9377957,170.9427419,1.313317788,496.8974432,493.0079032,498.7962903,496.6571505,2.55265548,330.9099686,328.2562097,333.83125,331.875121,3.261986226,414.25681,410.9624194,416.1948387,415.2612903,2.108090604,785.3705018,782.3274194,787.6470968,786.9079032,0.320022843
9,156.4639691,150.8352222,159.1636111,156.1980556,2.246949648,170.1190741,167.6627222,171.3275,170.2916111,1.339495946,495.8114815,491.8921667,497.5771111,495.1177778,2.559726548,327.7373102,324.34175,331.227875,327.695,1.299073008,412.1577407,408.5936667,413.9056667,412.4006667,0.616125709,784.6322963,782.0513333,786.7123333,785.8895,0.392915668
10,155.7330108,150.6643011,158.635,154.744086,2.270953262,169.9225287,167.3867742,171.1027043,170.229371,1.073715036,494.5456631,490.5519355,496.5912366,494.2565591,1.844408204,326.5801546,323.6042742,329.5397177,325.3134556,0.246021838,410.8544803,407.7827419,412.5174194,411.9064516,0.038320626,784.6574373,782.0832258,786.6125806,785.7804839,0.410350032
11,155.4060265,150.9036111,158.9447778,153.4127389,2.203085458,169.8256667,167.374,171.234,169.8496667,1.380743841,494.5690969,490.8811667,496.9602611,493.6140556,1.86621193,326.2149074,323.8177083,329.07125,324.2554167,0.247487373,407.8965926,403.2653333,411.0343333,409.4198333,1.697291977,785.1585,782.124,786.8466667,785.9425,0.512181012
12,155.8596816,152.8197312,159.2787634,154.697672,0.272144871,170.2040562,168.2284409,171.4717742,170.538172,0.154803162,494.9471505,491.638871,497.363172,495.0467742,0.491173097,327.5081676,324.3678629,331.2855645,326.3581855,1.775009095,407.4203763,404.2677419,409.5966129,409.4554839,0.865407461,785.902353,782.7858065,787.4780645,787.0198871,0.207273526
