month,hydro_generation
2012-01-01,598.5115849
2012-02-01,696.6247754
2012-03-01,475.1494023
2012-04-01,330.5115833
2012-05-01,513.873132
2012-06-01,279.1423624
2012-07-01,304.2256698
2012-08-01,110.8456244
2012-09-01,253.7599642
2012-10-01,587.7024497
2012-11-01,726.8929201
2012-12-01,575.8247237
2013-01-01,598.5115849
2013-02-01,696.6247754
2013-03-01,475.1494023
2013-04-01,330.5115833
2013-05-01,513.873132
2013-06-01,279.1423624
2013-07-01,304.2256698
2013-08-01,110.8456244
2013-09-01,253.7599642
2013-10-01,587.7024497
2013-11-01,726.8929201
2013-12-01,575.8247237
2014-01-01,598.5115849
2014-02-01,696.6247754
2014-03-01,475.1494023
2014-04-01,330.5115833
2014-05-01,513.873132
2014-06-01,279.1423624
2014-07-01,304.2256698
2014-08-01,110.8456244
2014-09-01,253.7599642
2014-10-01,587.7024497
2014-11-01,726.8929201
2014-12-01,575.8247237
2015-01-01,509.9015152
2015-02-01,487.6511153
2015-03-01,372.2135124
2015-04-01,457.1203982
2015-05-01,422.1795143
2015-06-01,132.2420131
2015-07-01,253.5569958
2015-08-01,74.97207523
2015-09-01,440.1951272
2015-10-01,703.9607832
2015-11-01,517.484506
2015-12-01,585.9147907
2016-01-01,562.7168207
2016-02-01,730.8017019
2016-03-01,611.6792921
2016-04-01,587.3391526
2016-05-01,475.5398178
2016-06-01,260.6645411
2016-07-01,209.6449967
2016-08-01,133.4849351
2016-09-01,292.2889554
2016-10-01,666.7629794
2016-11-01,453.49365
2016-12-01,548.5079557
2017-01-01,569.8558903
2017-02-01,664.5423987
2017-03-01,483.5353651
2017-04-01,415.2961741
2017-05-01,494.3522059
2017-06-01,219.3767385
2017-07-01,281.667707
2017-08-01,118.9981544
2017-09-01,315.7699676
2017-10-01,630.4201941
2017-11-01,626.1040298
2017-12-01,569.8126235
2018-01-01,562.5654709
2018-02-01,650.2108561
2018-03-01,478.8240148
2018-04-01,457.8575382
2018-05-01,466.5720344
2018-06-01,234.3896218
2018-07-01,280.6113097
2018-08-01,104.3550962
2018-09-01,326.3580526
2018-10-01,654.0219931
2018-11-01,628.8007836
2018-12-01,570.408787
2019-01-01,584.0124965
2019-02-01,674.1238805
2019-03-01,492.5668929
2019-04-01,472.7755443
2019-05-01,475.9762659
2019-06-01,224.4362986
2019-07-01,254.244378
2019-08-01,103.6014972
2019-09-01,295.4441779
2019-10-01,636.3300465
2019-11-01,606.1585108
2019-12-01,568.8542324
2020-01-01,574.5139458
2020-02-01,647.3854331
2020-03-01,468.4752506
2020-04-01,437.7717591
2020-05-01,481.572567
2020-06-01,240.882633
2020-07-01,262.51808
2020-08-01,99.17603132
2020-09-01,328.3408834
2020-10-01,640.5251704
2020-11-01,624.7654481
2020-12-01,567.2914692
2021-01-01,558.2108318
2021-02-01,639.0481826
2021-03-01,486.9984839
2021-04-01,455.2190377
2021-05-01,480.9568198
2021-06-01,274.5017184
2021-07-01,260.2433658
2021-08-01,112.7148293
2021-09-01,270.5338191
2021-10-01,620.9484067
2021-11-01,581.3104894
2021-12-01,569.4785007
2022-01-01,566.2597564
2022-02-01,651.7044647
2022-03-01,491.1720363
2022-04-01,421.8306075
2022-05-01,461.2764241
2022-06-01,257.3136007
2022-07-01,277.2638067
2022-08-01,112.0654313
2022-09-01,304.2864963
2022-10-01,638.3625053
2022-11-01,609.363863
2022-12-01,567.5435022
2023-01-01,568.8814279
2023-02-01,660.3229956
2023-03-01,475.8834862
2023-04-01,436.3180001
2023-05-01,485.612175
2023-06-01,251.8549695
2023-07-01,273.062085
2023-08-01,127.3673804
2023-09-01,338.8495747
2023-10-01,635.5501863
