month,cth
2016-01-01,58.7914965
2016-02-01,17.0806138
2016-03-01,12.3579224
2016-04-01,31.6999403
2016-05-01,31.0788228
2016-06-01,53.3351364
2016-07-01,45.7429376
2016-08-01,42.6953868
2016-09-01,20.0792873
2016-10-01,37.4743123
2016-11-01,42.3366978
2016-12-01,11.4250436
2017-01-01,13.7818258
2017-02-01,15.7372302
2017-03-01,5.8825163
2017-04-01,34.7700253
2017-05-01,18.821126
2017-06-01,13.9812218
2017-07-01,12.2044054
2017-08-01,11.1077884
2017-09-01,29.7733866
2017-10-01,30.5111579
2017-11-01,37.314641
2017-12-01,42.6585099
2018-01-01,26.8323371
2018-02-01,36.5632178
2018-03-01,34.5310267
2018-04-01,20.3871251
2018-05-01,7.611122
2018-06-01,23.4753666
2018-07-01,11.7790992
2018-08-01,26.1707422
2018-09-01,4.9794638
2018-10-01,74.8861996
2018-11-01,44.0231726
2018-12-01,30.2764844
2019-01-01,58.7914965
2019-02-01,17.0806138
2019-03-01,12.3579224
2019-04-01,31.6999403
2019-05-01,31.0788228
2019-06-01,53.3351364
2019-07-01,45.7429376
2019-08-01,42.6953868
2019-09-01,20.0792873
2019-10-01,37.4743123
2019-11-01,42.3366978
2019-12-01,11.4250436
2020-01-01,13.7818258
2020-02-01,15.7372302
2020-03-01,5.8825163
2020-04-01,34.7700253
2020-05-01,18.821126
2020-06-01,13.9812218
2020-07-01,12.2044054
2020-08-01,11.1077884
2020-09-01,29.7733866
2020-10-01,30.5111579
2020-11-01,37.314641
2020-12-01,42.6585099
2021-01-01,26.8323371
2021-02-01,36.5632178
2021-03-01,34.5310267
2021-04-01,20.3871251
2021-05-01,7.611122
2021-06-01,23.4753666
2021-07-01,11.7790992
2021-08-01,26.1707422
2021-09-01,4.9794638
2021-10-01,74.8861996
2021-11-01,44.0231726
2021-12-01,30.2764844
2022-01-01,58.7914965
2022-02-01,17.0806138
2022-03-01,12.3579224
2022-04-01,31.6999403
2022-05-01,31.0788228
2022-06-01,53.3351364
2022-07-01,45.7429376
2022-08-01,42.6953868
2022-09-01,20.0792873
2022-10-01,37.4743123
2022-11-01,42.3366978
2022-12-01,11.4250436
2023-01-01,13.7818258
2023-02-01,15.7372302
2023-03-01,5.8825163
2023-04-01,34.7700253
2023-05-01,18.821126
2023-06-01,13.9812218
2023-07-01,12.2044054
2023-08-01,11.1077884
2023-09-01,29.7733866
2023-10-01,30.5111579
2023-11-01,37.314641
2023-12-01,42.6585099
2024-01-01,26.8323371
2024-02-01,36.5632178
2024-03-01,34.5310267
2024-04-01,20.3871251
2024-05-01,7.611122
2024-06-01,23.4753666
2024-07-01,11.7790992
2024-08-01,26.1707422
2024-09-01,4.9794638
2024-10-01,74.8861996
2024-11-01,44.0231726
2024-12-01,30.2764844
2025-01-01,58.7914965
2025-02-01,17.0806138
2025-03-01,12.3579224
2025-04-01,31.6999403
2025-05-01,31.0788228
2025-06-01,53.3351364
2025-07-01,45.7429376
2025-08-01,42.6953868
2025-09-01,20.0792873
2025-10-01,37.4743123
2025-11-01,42.3366978
2025-12-01,11.4250436
2026-01-01,13.7818258
2026-02-01,15.7372302
2026-03-01,5.8825163
2026-04-01,34.7700253
2026-05-01,18.821126
2026-06-01,13.9812218
2026-07-01,12.2044054
2026-08-01,11.1077884
2026-09-01,29.7733866
2026-10-01,30.5111579
2026-11-01,37.314641
2026-12-01,42.6585099
2027-01-01,26.8323371
2027-02-01,36.5632178
2027-03-01,34.5310267
2027-04-01,20.3871251
2027-05-01,7.611122
2027-06-01,23.4753666
2027-07-01,11.7790992
2027-08-01,26.1707422
2027-09-01,4.9794638
2027-10-01,74.8861996
2027-11-01,44.0231726
2027-12-01,30.2764844
2028-01-01,58.7914965
2028-02-01,17.0806138
2028-03-01,12.3579224
2028-04-01,31.6999403
2028-05-01,31.0788228
2028-06-01,53.3351364
2028-07-01,45.7429376
2028-08-01,42.6953868
2028-09-01,20.0792873
2028-10-01,37.4743123
2028-11-01,42.3366978
2028-12-01,11.4250436
2029-01-01,13.7818258
2029-02-01,15.7372302
2029-03-01,5.8825163
2029-04-01,34.7700253
2029-05-01,18.821126
2029-06-01,13.9812218
2029-07-01,12.2044054
2029-08-01,11.1077884
2029-09-01,29.7733866
2029-10-01,30.5111579
