period,FCR_upwards_min,FCR_downwards_min,FRR_upwards_min,FRR_downwards_min,RR_upwards_min
0,46.33333333,42.22222222,721.3888889,269.1666667,0
1,46.33333333,42.77777778,503.0555556,276.9444444,0
2,46.33333333,44.08333333,499.1666667,292.5,0
3,46.33333333,44.08333333,488.3333333,292.2222222,0
4,46.33333333,44.08333333,500,293.3333333,0
5,46.33333333,44.08333333,721.3888889,293.3333333,0
6,46.33333333,44.83333333,1044.444444,296.1111111,0
7,46.33333333,46.33333333,1123.055556,305.2777778,0
8,46.33333333,46.33333333,1089.444444,308.6111111,0
9,46.33333333,46.33333333,1083.333333,310,0
10,46.33333333,46.33333333,1081.666667,310.5555556,0
11,46.33333333,46.33333333,1095,310.5555556,0
12,46.33333333,46.33333333,1092.5,311.6666667,0
13,46.33333333,46.33333333,1060.833333,311.6666667,0
14,46.33333333,46.33333333,1063.055556,310.5555556,0
15,46.33333333,46.33333333,1100.555556,308.8888889,0
16,46.33333333,46.33333333,1144.444444,311.1111111,0
17,46.33333333,46.33333333,1204.166667,310.8333333,0
18,46.33333333,46.33333333,1237.222222,306.6666667,0
19,46.33333333,46.33333333,1234.722222,305.2777778,0
20,46.33333333,46.33333333,1227.777778,307.2222222,0
21,46.33333333,46.33333333,1199.166667,308.8888889,0
22,46.33333333,46.33333333,1176.944444,309.1666667,0
23,46.33333333,46.33333333,1181.944444,308.6111111,0
