month,natural_gas_contribution
2013-01-01,0.329723713
2013-02-01,0.21837649
2013-03-01,0.177584833
2013-04-01,0.494855391
2013-05-01,0.035006761
2013-06-01,0.330764421
2013-07-01,0.324908327
2013-08-01,0.491504901
2013-09-01,0.045605561
2013-10-01,0.270676093
2013-11-01,0.160595648
2013-12-01,0.337698216
2014-01-01,0.329723713
2014-02-01,0.21837649
2014-03-01,0.177584833
2014-04-01,0.494855391
2014-05-01,0.035006761
2014-06-01,0.330764421
2014-07-01,0.324908327
2014-08-01,0.491504901
2014-09-01,0.045605561
2014-10-01,0.270676093
2014-11-01,0.160595648
2014-12-01,0.337698216
2015-01-01,0.580887635
2015-02-01,0.562569454
2015-03-01,0.288489392
2015-04-01,0.354751804
2015-05-01,0.506657211
2015-06-01,0.280416152
2015-07-01,0.417551649
2015-08-01,0.277448124
2015-09-01,0.436895574
2015-10-01,0.267032734
2015-11-01,0
2015-12-01,0.252329525
2016-01-01,0.587914965
2016-02-01,0.170806138
2016-03-01,0.123579224
2016-04-01,0.316999403
2016-05-01,0.310788228
2016-06-01,0.533351364
2016-07-01,0.457429376
2016-08-01,0.426953868
2016-09-01,0.200792873
2016-10-01,0.374743123
2016-11-01,0.423366978
2016-12-01,0.114250436
2017-01-01,0.137818258
2017-02-01,0.157372302
2017-03-01,0.058825163
2017-04-01,0.347700253
2017-05-01,0.18821126
2017-06-01,0.139812218
2017-07-01,0.122044054
2017-08-01,0.111077884
2017-09-01,0.297733866
2017-10-01,0.305111579
2017-11-01,0.37314641
2017-12-01,0.426585099
2018-01-01,0.268323371
2018-02-01,0.365632178
2018-03-01,0.345310267
2018-04-01,0.203871251
2018-05-01,0.07611122
2018-06-01,0.234753666
2018-07-01,0.117790992
2018-08-01,0.261707422
2018-09-01,0.049794638
2018-10-01,0.748861996
2018-11-01,0.440231726
2018-12-01,0.302764844
2019-01-01,0.106984662
2019-02-01,0.372563323
2019-03-01,0.19549131
2019-04-01,0.263968138
2019-05-01,0.152186297
2019-06-01,0.320045326
2019-07-01,0.121699898
2019-08-01,0.278631408
2019-09-01,0.048173329
2019-10-01,0.283346002
2019-11-01,0.097268237
2019-12-01,0.273151258
2020-01-01,0.327682993
2020-02-01,0.28442612
2020-03-01,0.304328191
2020-04-01,0.129621762
2020-05-01,0.338566573
2020-06-01,0.308281462
2020-07-01,0.171282288
2020-08-01,0.326932382
2020-09-01,0.17047826
2020-10-01,0.183592476
2020-11-01,0.155355918
2020-12-01,0.336539822
2021-01-01,0.363602662
2021-02-01,0.545341557
2021-03-01,0.512853807
2021-04-01,0.261886378
2021-05-01,0.205908853
2021-06-01,0.377912131
2021-07-01,0.324770256
2021-08-01,0.272826891
2021-09-01,0.385644163
2021-10-01,0.106737729
2021-11-01,0.303732921
2021-12-01,0.422246467
2022-01-01,0.122512936
2022-02-01,0.771859414
2022-03-01,0.218711272
2022-04-01,0.065870172
2022-05-01,0.11287916
2022-06-01,0.858239638
2022-07-01,0.541867449
2022-08-01,0.512102195
2022-09-01,0.417647721
2022-10-01,0.215800494
2022-11-01,0.288859773
2022-12-01,0.30159724
2023-01-01,0.22524847
2023-02-01,0.246665058
2023-03-01,0.284544936
2023-04-01,0.459874315
2023-05-01,0.290088847
2023-06-01,0.319562275
2023-07-01,0.346602008
2023-08-01,0.241802368
2023-09-01,0.362064383
2023-10-01,0.393879536
2023-11-01,0.353107341
2023-12-01,0.239206684
2024-01-01,0.261142416
2024-02-01,0.363808319
2024-03-01,0.408353632
2024-04-01,0.382565291
2024-05-01,0.263508766
2024-06-01,0.550490374
2024-07-01,0.470680664
2024-08-01,0.135845883
2024-09-01,0.227835109
2024-10-01,0.278638734
2024-11-01,0.136692765
2024-12-01,0.815612953
2025-01-01,0.354663252
2025-02-01,0.745475173
2025-03-01,0.353586871
2025-04-01,0.07304886
2025-05-01,0.298794068
2025-06-01,0.359836796
2025-07-01,0.335136371
2025-08-01,0.053423121
2025-09-01,0.820809692
2025-10-01,0.309852047
2025-11-01,0.400329706
2025-12-01,0.135458207
2026-01-01,0.222667476
2026-02-01,0.494380895
2026-03-01,0.462938484
2026-04-01,0.310601128
2026-05-01,0.459487856
2026-06-01,0.456499885
2026-07-01,0.596391319
2026-08-01,0.55454942
2026-09-01,0.2794608
2026-10-01,0.157757719
2026-11-01,0.107595986
2026-12-01,0.299771246
2027-01-01,0.367540365
2027-02-01,0.264824032
2027-03-01,0.221376944
2027-04-01,0.283304488
2027-05-01,0.343618741
2027-06-01,0.137744927
2027-07-01,0.739476952
2027-08-01,0.426606313
2027-09-01,0.653833658
2027-10-01,0.606640354
2027-11-01,0.244424031
2027-12-01,0.389346296
2028-01-01,0.490608273
2028-02-01,0.479830928
2028-03-01,0.910107905
2028-04-01,0.513088456
2028-05-01,0.369778102
2028-06-01,0.251827315
2028-07-01,0.866258822
2028-08-01,0.520237307
2028-09-01,0.224750635
2028-10-01,0.223541903
2028-11-01,0.177031371
2028-12-01,0.398921826
2029-01-01,0.225791903
2029-02-01,0.192537049
2029-03-01,0.400146455
2029-04-01,0.426661636
2029-05-01,0.245013764
2029-06-01,0.909826847
2029-07-01,0.566609901
2029-08-01,0.441581846
2029-09-01,0.386343537
2029-10-01,0.448822761
2029-11-01,0.379316831
2029-12-01,0.262305774
2030-01-01,0.164579723
2030-02-01,0.299389539
2030-03-01,0.257125699
2030-04-01,0.448171968
2030-05-01,0.336944785
2030-06-01,0.3060174
2030-07-01,0.262979973
2030-08-01,0.467471129
2030-09-01,0.257912539
2030-10-01,0.224270823
2030-11-01,0.235331144
2030-12-01,0.322863016
2031-01-01,0.335609113
2031-02-01,0.148749656
2031-03-01,0.282088553
2031-04-01,0.277246036
2031-05-01,0.460706395
2031-06-01,0.209536468
2031-07-01,0.195223467
2031-08-01,0.425980398
2031-09-01,0.154530451
2031-10-01,0.063419248
2031-11-01,0.213239194
2031-12-01,0.466992118
2032-01-01,0.58871006
2032-02-01,0.438295585
2032-03-01,0.073792926
2032-04-01,0.324941675
2032-05-01,0.16436399
2032-06-01,0.04162152
2032-07-01,0.083844599
2032-08-01,0.26887433
2032-09-01,0.084771586
2032-10-01,0.113418013
2032-11-01,0.169027985
2032-12-01,0.253382487
2033-01-01,0.423907122
2033-02-01,0.408023914
2033-03-01,0.42450051
2033-04-01,0.468738135
2033-05-01,0.581777895
2033-06-01,0.410604846
2033-07-01,0.305096916
2033-08-01,0.551794214
2033-09-01,0.441868105
2033-10-01,0.656187748
2033-11-01,0.638102868
2033-12-01,0.243125387
2034-01-01,0.447166168
2034-02-01,0.298621855
2034-03-01,0.26130555
2034-04-01,0.369159067
2034-05-01,0.183221332
2034-06-01,0.818372703
2034-07-01,0.345507624
2034-08-01,0.534816536
2034-09-01,0.565603457
2034-10-01,0.405914316
2034-11-01,1.053862756
2034-12-01,0.603850345
2035-01-01,0.336672252
2035-02-01,0.216555974
2035-03-01,0.132520432
2035-04-01,0.856029758
2035-05-01,0.367211175
2035-06-01,0.475698373
2035-07-01,0.404896381
2035-08-01,0.339023301
2035-09-01,0.25817993
2035-10-01,0.498344308
2035-11-01,0.353402077
2035-12-01,0.395111538
2036-01-01,0.344854175
2036-02-01,0.808934024
2036-03-01,0.423639548
2036-04-01,0.39310398
2036-05-01,0.504941283
2036-06-01,0.461384364
2036-07-01,0.299813932
2036-08-01,0.389554575
2036-09-01,0.103883821
2036-10-01,0.289053982
2036-11-01,0.446081448
2036-12-01,0.176826935
2037-01-01,0.927935173
2037-02-01,0.501881453
2037-03-01,0.818048109
2037-04-01,0.22343006
2037-05-01,0.169865666
2037-06-01,0.796360008
2037-07-01,0.463767337
2037-08-01,0.003715697
2037-09-01,0.723063374
2037-10-01,0.326740161
2037-11-01,0.397060792
2037-12-01,0.500557027
2038-01-01,0.303264975
2038-02-01,0.772567201
2038-03-01,0.454869797
2038-04-01,0.888503092
2038-05-01,0.378054594
2038-06-01,0.278706639
2038-07-01,0.418452368
2038-08-01,0.170029402
2038-09-01,0.867227355
2038-10-01,0.524122683
2038-11-01,0.231870786
2038-12-01,0.144774224
2039-01-01,0.886169158
2039-02-01,0.520221192
2039-03-01,0.256035479
2039-04-01,0.441980589
2039-05-01,0.442111549
2039-06-01,0.275478612
2039-07-01,0.478297672
2039-08-01,0.458933845
2039-09-01,0.574628224
2039-10-01,0.337732803
2039-11-01,0.548937871
2039-12-01,0.527453118
2040-01-01,0.214061085
2040-02-01,0.325764663
2040-03-01,0.469839959
2040-04-01,0.3365229
2040-05-01,0.380557409
2040-06-01,1.086019297
2040-07-01,0.51108506
2040-08-01,0.583524068
2040-09-01,0.414587335
2040-10-01,0.296963077
2040-11-01,0.17124239
2040-12-01,0.415042453
2041-01-01,0.498748064
2041-02-01,0.472210258
2041-03-01,0.775242675
2041-04-01,0.513145046
2041-05-01,0.440853407
2041-06-01,0.596202165
2041-07-01,0.402190049
2041-08-01,0.368599506
2041-09-01,0.148720814
2041-10-01,1.062749323
2041-11-01,0.574354883
2041-12-01,0.518452537
2042-01-01,0.401546343
2042-02-01,0.139877852
2042-03-01,0.23467097
2042-04-01,0.252249377
2042-05-01,0.088651738
2042-06-01,0.900155591
2042-07-01,0.755219182
2042-08-01,0.707426179
2042-09-01,0.394426893
2042-10-01,0.387357243
2042-11-01,0.685953576
2042-12-01,0.4882041
2043-01-01,0.267415548
2043-02-01,0.986223206
2043-03-01,0.567877701
2043-04-01,0.465835915
2043-05-01,0.399876849
2043-06-01,0.381252556
2043-07-01,0.482589585
2043-08-01,0.379347891
2043-09-01,0.588395213
2043-10-01,0.511972647
2043-11-01,0.433199465
2043-12-01,0.369825819
2044-01-01,0.427218524
2044-02-01,0.708960487
