month,nat_gas_price,,,
2009-01-01,0.2941,,,
2009-02-01,0.2933,,,
2009-03-01,0.2142,,,
2009-04-01,0.14,,,
2009-05-01,0.1369,,,
2009-06-01,0.1427,,,
2009-07-01,0.1493,,,
2009-08-01,0.1448,,,
2009-09-01,0.1423,,,
2009-10-01,0.1771,,,
2009-11-01,0.1793,,,
2009-12-01,0.1789,,,
2010-01-01,0.2091,,,
2010-02-01,0.2108,,,
2010-03-01,0.216,,,
2010-04-01,0.2422,,,
2010-05-01,0.2135,,,
2010-06-01,0.2299,,,
2010-07-01,0.2131,,,
2010-08-01,0.2148,,,
2010-09-01,0.1956,,,
2010-10-01,0.2167,,,
2010-11-01,0.2322,,,
2010-12-01,0.2301,,,
2011-01-01,0.2387,,,
2011-02-01,0.2248,,,
2011-03-01,0.2248,,,
2011-04-01,0.2404,,,
2011-05-01,0.2459,,,
2011-06-01,0.2424,,,
2011-07-01,0.2661,,,
2011-08-01,0.2686,,,
2011-09-01,0.2824,,,
2011-10-01,0.3176,,,
2011-11-01,0.2565,,,
2011-12-01,0.2659,,,
2012-01-01,0.3482,,,
2012-02-01,0.3247,,,
2012-03-01,0.3391,,,
2012-04-01,0.3389,,,
2012-05-01,0.3382,,,
2012-06-01,0.3763,,,
2012-07-01,0.3643,,,
2012-08-01,0.3418,,,
2012-09-01,0.2945,,,
2012-10-01,0.3353,,,
2012-11-01,0.3253,,,
2012-12-01,0.3405,,,
2013-01-01,0.3328,,,
2013-02-01,0.3379,,,
2013-03-01,0.32,,,
2013-04-01,0.3285,,,
2013-05-01,0.3238,,,
2013-06-01,0.3286,,,
2013-07-01,0.3199,,,
2013-08-01,0.3168,,,
2013-09-01,0.3077,,,
2013-10-01,0.3008,,,
2013-11-01,0.3001,,,
2013-12-01,0.3097,,,
2014-01-01,0.2744,,,
2014-02-01,0.273,,,
2014-03-01,0.2734,,,
2014-04-01,0.2689,,,
2014-05-01,0.2813,,,
2014-06-01,0.2851,,,
2014-07-01,0.2762,,,
2014-08-01,0.2929,,,
2014-09-01,0.2877,,,
2014-10-01,0.3008,,,
2014-11-01,0.2979,,,
2014-12-01,0.3089,,,
2015-01-01,0.2747,,,
2015-02-01,0.274,,,
2015-03-01,0.2811,,,
2015-04-01,0.2265,,,
2015-05-01,0.2207,,,
2015-06-01,0.2242,,,
2015-07-01,0.189,,,
2015-08-01,0.202,,,
2015-09-01,0.185,,,
2015-10-01,0.186,,,
2015-11-01,0.1908,,,
2015-12-01,0.1902,,,
2016-01-01,0.1563,,,
2016-02-01,0.1429,,,
2016-03-01,0.1559,,,
2016-04-01,0.1261,,,
2016-05-01,0.12,,,
2016-06-01,0.1258,,,
2016-07-01,0.1355,,,
2016-08-01,0.1207,,,
2016-09-01,0.139,,,
2016-10-01,0.1469,,,
2016-11-01,0.1541,,,
2016-12-01,0.1671,,,
2017-01-01,0.2018,,,
2017-02-01,0.2048,,,
2017-03-01,0.2137,,,
2017-04-01,0.1733,,,
2017-05-01,0.1741,,,
2017-06-01,0.1713,,,
2017-07-01,0.1808,,,
2017-08-01,0.1671,,,
2017-09-01,0.1695,,,
2017-10-01,0.1717,,,
2017-11-01,0.1702,,,
2017-12-01,0.1716,,,
2018-01-01,0.1813,,,
2018-02-01,0.1844,,,
2018-03-01,0.1734,,,
2018-04-01,0.1963,,,
2018-05-01,0.1985,,,
2018-06-01,0.2001,,,
2018-07-01,0.2231,,,
2018-08-01,0.2225,,,
2018-09-01,0.2279,,,
2018-10-01,0.2412,,,
2018-11-01,0.2483,,,
