year,growth
2016,1
2017,1
2018,1.188266667
2019,1.256
2020,1.6816
2021,2.002666667
2022,2.264533333
2023,2.406933333
2024,2.566933333
2025,2.729066667
2026,2.876266667
2027,3.010666667
2028,3.211733333
2029,3.4064
2030,3.530133333
2031,3.610666667
2032,3.670933333
2033,3.731733333
2034,3.792533333
2035,3.8528
2036,3.976796716
2037,4.050983867
2038,4.124686299
2039,4.199141247
2040,4.275585945
2041,4.355257626
2042,4.439393526
2043,4.529230878
2044,4.626006918
2045,4.730958879
2046,4.845323995
2047,4.970339499
2048,5.107242627
2049,5.257270614
2050,5.424305504
